SampleID	Acidobacteria	Actinobacteria	Bacteroidetes	Chlamydiae	Chloroflexi	Cyanobacteria	Deferribacteres	Deinococcus_Thermus	Dependentiae	Epsilonbacteraeota	Euryarchaeota	Firmicutes	Fusobacteria	Lentisphaerae	Patescibacteria	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Verrucomicrobia	unclassified
1204B	0	478	0	0	0	0	0	0	0	0	0	5322	0	0	0	0	0	0	0	0	3	0
1204C	0	722	0	0	0	0	0	0	0	0	0	16110	0	0	0	0	0	0	0	0	0	0
1204D	0	218	0	0	0	0	0	0	0	0	0	6765	0	0	0	0	2	0	0	0	0	0
1204E	0	181	2	0	0	0	0	0	0	0	0	8708	0	0	0	0	0	0	0	0	0	0
1212A	0	297	8	0	0	0	0	0	0	0	0	94665	3	0	0	0	109	0	0	0	184	0
1215B	0	43883	31721	0	0	0	0	0	0	0	0	143217	0	0	0	0	108	0	0	0	0	0
1215C	0	28297	1958	0	0	0	0	0	0	0	0	101527	0	0	0	0	216	0	0	0	0	87
1215D	0	5485	32474	0	0	0	0	0	0	0	0	95299	0	0	0	0	466	0	0	0	0	0
1215F	0	7754	11502	0	0	0	0	0	0	0	0	81800	14	0	2	0	131	0	0	0	0	71
1215G	0	4341	30	0	0	0	0	0	0	0	0	64301	0	0	10	0	9	0	0	0	0	0
1215H	0	3297	30	0	0	0	0	0	0	0	0	64003	0	0	7	0	4	0	0	0	0	0
1225B	0	35	3638	0	0	0	0	0	0	0	20	4484	0	0	0	0	31	0	2	0	101	0
1230S	0	242	1225	0	0	12	3	0	0	0	0	41895	0	0	0	0	49	0	0	9	0	312
1231F	0	655	60	0	0	0	0	0	0	0	0	29475	0	0	0	0	22	0	0	0	1434	174
1237A	0	2213	5	0	0	0	0	0	0	0	0	35427	0	0	0	0	6	0	0	0	4	16
1243C	0	6248	2129	0	0	0	0	0	0	0	18	34238	0	0	0	0	35	0	0	0	0	0
1243E	0	12930	545	0	0	0	0	0	0	0	0	23708	76	0	0	0	264	0	0	0	2	0
1243G	0	9912	1629	0	0	0	0	0	0	0	0	32606	4869	0	108	0	56	0	0	0	0	0
1244B	0	362	0	0	0	0	0	0	0	0	0	20061	0	0	0	0	102	0	0	0	0	0
1244D	0	1061	0	0	0	0	0	0	0	0	0	64813	0	0	0	0	1996	0	0	0	9	0
1244O	0	2895	959	0	0	0	0	0	0	0	0	41203	0	0	0	0	1472	0	0	0	5839	0
1247G	0	31240	3656	0	0	0	0	0	0	0	0	125272	68	0	0	0	90	0	0	0	6	4
1247H	0	3702	1461	0	0	6	0	0	0	0	0	40049	13	0	0	0	6	0	0	0	6	0
1247J	0	7458	42	0	0	0	0	0	0	0	0	171448	9	0	0	0	30	0	0	0	11	0
1247K	0	1710	19	0	0	0	0	0	0	0	0	189018	0	0	0	0	46	0	0	0	10	0
1247L	0	8241	79	0	0	0	0	0	0	0	0	162442	12	0	0	0	130	0	0	0	12	0
1247M	0	531	244	0	0	0	0	0	0	0	0	33810	4	0	0	0	41	0	0	0	0	0
1247O	0	4703	416	0	0	0	0	0	0	0	0	34117	58	0	6	0	50	0	0	6	3	0
1247R	0	25364	431	0	0	6	0	0	0	3	0	8564	327	0	203	0	628	0	0	2545	46	0
1247U	0	109	135	0	0	0	0	0	0	0	0	29897	0	0	0	0	75	0	0	6	7	0
1247V	0	40	18	0	0	0	0	0	0	0	0	28732	0	0	0	0	16	0	0	0	13	0
1249C	0	69	386	0	0	0	0	0	0	0	0	8288	4	0	0	0	98	0	0	0	58	9
1249G	0	2904	26	0	0	22	0	0	0	0	0	47134	0	0	0	0	71	0	0	2	24	6
1249K	0	2740	431	0	0	0	0	0	0	2	0	15395	0	0	0	0	153	160	0	2084	98	17
1252BBB	0	3448	16	0	0	9	0	0	0	0	0	220144	0	0	0	0	1142	0	0	0	5	0
1252I	0	64	35	0	0	109	0	2	0	0	0	53832	0	0	0	0	167	0	0	0	8	39
1252K	0	1021	24	0	0	0	0	0	0	0	0	34969	4	0	0	0	21	0	0	0	10	1503
1252L	0	1671	48	0	0	0	0	0	0	0	0	49414	8	0	0	0	71	0	0	0	13	2650
